domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.mediafax.ro,0.03108333333333333,0.25432263670991595,0.4977261904761905,0.17845389187390479,5.0
www.fox6now.com,0.00027777777777778233,0.09147918538129146,0.29583333333333334,0.27041277889118764,5.0
www.nbcnews.com,0.08435882635882634,0.24358756914650975,0.4457710437710438,0.2845217175960145,5.0
sports.yahoo.com,0.015111111111111093,0.28991867740139277,0.36977777777777776,0.2292734094837347,5.0
japantoday.com,0.15634920634920638,0.3762863215924627,0.4307936507936508,0.2023316544377156,5.0
www.newser.com,0.06040404040404042,0.17063662446638428,0.561300505050505,0.16974954677430054,5.0
www.fox29.com,-0.04790782828282828,0.10856044705739751,0.4445109427609427,0.12039487821777793,5.0
weather.com,-0.02294570707070708,0.08272872617038543,0.3470374579124579,0.10745079070796874,5.0
fox2now.com,0.11133333333333333,0.18300880367409164,0.42699999999999994,0.0900725016614702,5.0
sectionhiker.com,0.4357638888888889,0.22976877971045068,0.4684722222222222,0.10614201120767347,4.0
screenrant.com,0.017452012273440842,0.15057337426212064,0.4030804909376338,0.14478883713260116,4.0
www.channelnewsasia.com,0.10680555555555554,0.19186813247517473,0.28248015873015875,0.2203066853009899,4.0
thepointsguy.com,0.23226628530199958,0.26292271626449526,0.4855628349824778,0.11757062936118154,4.0
www.fox5ny.com,0.06895923520923522,0.12155670208389754,0.5258627946127946,0.14426878279231603,4.0
www.abc.net.au,0.32803391053391057,0.3149931441894785,0.5774476911976912,0.3073391387411933,4.0
www.burlingtonfreepress.com,0.12291666666666667,0.11812089695010065,0.3620833333333333,0.21788280488984596,4.0
newsonjapan.com,-0.061352040816326545,0.21494075165291315,0.36437074829931976,0.20892190654960194,4.0
www.popsci.com,0.17432397959183676,0.04180689618377372,0.45634212018140585,0.050453039008305174,4.0
www.space.com,0.15729166666666666,0.3101189847820062,0.47583333333333333,0.26204855360113033,4.0
www.dw.com,0.09490414347557205,0.1252800435838615,0.2811657390228819,0.20927909542565848,4.0
www.thelocal.se,-0.12662993572084483,0.2509576122444728,0.4011030762167126,0.1578672378839481,4.0
newatlas.com,0.1699902874902875,0.14303814181895258,0.5153095053095054,0.022776908058359496,4.0
kdvr.com,0.0039037698412698434,0.14996013139907477,0.2920287698412698,0.09968964075989155,4.0
www.rockpapershotgun.com,-0.0901388888888889,0.18614805810708057,0.4677777777777778,0.2168033756741433,3.0
www.theverge.com,0.1765151515151515,0.10196654504561752,0.3914393939393939,0.15834437035622007,3.0
www.slashgear.com,0.21130671797338463,0.11822557804879993,0.48948212281545617,0.03661797289227645,3.0
www.wgal.com,0.20793650793650795,0.027077336681320615,0.37222222222222223,0.22812870483846925,3.0
wgntv.com,0.11803030303030303,0.11869672213557554,0.3553198653198653,0.06594856075286469,3.0
www.jalopnik.com,0.33014430014430013,0.16746838899683064,0.4881074481074481,0.11989624458347037,3.0
www.gamespot.com,0.15033670033670035,0.15430126391657906,0.5745791245791246,0.12225387073894792,3.0
www.goerie.com,-0.05632323232323231,0.21548230084475442,0.3769040404040404,0.11185587597941984,3.0
www.techradar.com,0.17884326847395027,0.13618221087491525,0.5136904761904761,0.08278653108456453,3.0
www.israelnationalnews.com,0.08555555555555555,0.1520721076526722,0.4825,0.1203496064712211,3.0
streetartutopia.com,0.18758309591642922,0.13275195595574965,0.4401183692850359,0.19562800780428052,3.0
www.woodtv.com,0.19681818181818186,0.14550527839992816,0.6005050505050505,0.23831639604101376,3.0
www.the-independent.com,0.1875,0.20879116360612582,0.2833333333333334,0.14847313168830698,3.0
www.desmoinesregister.com,-0.052552910052910067,0.1178120159272126,0.46915343915343916,0.11179344298082959,3.0
www.pjstar.com,0.05833333333333332,0.09824855102126329,0.387037037037037,0.09880978942188223,3.0
www.marca.com,-0.07579365079365079,0.14382772143877756,0.4047619047619048,0.395031859560754,3.0
www.usatoday.com,0.008856421356421368,0.09932282779049383,0.38679653679653675,0.17973333132306304,3.0
www.aljazeera.com,0.014835858585858591,0.2771477517169442,0.41357323232323234,0.3460048620666594,3.0
www.sciencedaily.com,0.07446087862754529,0.052579659114952826,0.44858505691839023,0.12453373717357913,3.0
www.highsnobiety.com,0.14230920314253648,0.2286654998851104,0.6861952861952862,0.16965500723763302,3.0
pix11.com,0.0093073593073593,0.22854939304119884,0.4894901394901395,0.14542645455668896,3.0
www.thehindubusinessline.com,0.23705357142857145,0.08258204601473369,0.5590773809523809,0.11745088032861226,3.0
skepticalscience.com,0.08095238095238096,0.0,0.2333333333333333,0.0,3.0
www.foxsports.com,0.19513888888888886,0.4382747769294882,0.39999999999999997,0.20275875100994065,3.0
dailyutahchronicle.com,-0.011111111111111113,0.15713484026367724,0.3,0.282842712474619,2.0
www.pressconnects.com,0.21074380165289255,0.2322933434063245,0.4739439853076217,0.323619852840565,2.0
www.newyorker.com,-0.0022727272727272735,0.2324881386628497,0.40075757575757576,0.04606907816821448,2.0
www.boredpanda.com,0.12962870462870463,0.0557467633852531,0.6478937728937728,0.29255571771069777,2.0
finance.yahoo.com,0.10833333333333334,0.10606601717798214,0.36666666666666664,0.09428090415820632,2.0
www.bay12games.com,0.17857142857142858,0.0,0.29910714285714285,0.0,2.0
english.gossiplankanews.com,-0.05875,0.03889087296526011,0.39625,0.42779960261786126,2.0
www.bgr.com,0.06593915343915342,0.20979371828061194,0.4737433862433862,0.0672499703271333,2.0
deadline.com,0.048958333333333326,0.08102265201095857,0.4666666666666666,0.11785113019775789,2.0
www.positivityblog.com,0.02692307692307693,0.057359710921426235,0.6061771561771561,0.02554814710580758,2.0
www.justjared.com,0.07342657342657341,0.10384085597844402,0.13321678321678324,0.18839698156089135,2.0
brobible.com,0.1294642857142857,0.08207489424486714,0.5916666666666668,0.12963624321753384,2.0
www.nzherald.co.nz,0.07832521645021645,0.017099892884863,0.43125270562770557,0.02238788840217796,2.0
www.digitaljournal.com,-0.05123376623376624,0.18559257204909252,0.5758874458874459,0.16388959768280414,2.0
www.designboom.com,0.06041666666666666,0.03830161731427132,0.37916666666666665,0.25337992992517955,2.0
www.desertsun.com,-0.0046296296296296224,0.28938999748560557,0.4757407407407407,0.17311021569048435,2.0
www.yankodesign.com,-0.23124999999999998,0.23864853865045976,0.45763888888888893,0.45274475850972,2.0
ahouseinthehills.com,0.12358743686868685,0.13377665697732236,0.5784722222222223,0.030444875301087394,2.0
www.crossville-chronicle.com,0.07013888888888889,0.035158920508997785,0.3296527777777778,0.014633181999554932,2.0
www.pcworld.com,0.09172979797979798,0.09044181431085511,0.5275252525252525,0.07035355348169182,2.0
www.courier-journal.com,0.10409902597402598,0.1926751188671461,0.46711309523809524,0.014100045934374559,2.0
www.wsbtv.com,0.140521978021978,0.06235749361562681,0.40795177045177045,0.07578302529749593,2.0
www.explore.com,0.034107142857142864,0.015404826304421235,0.6603571428571429,0.018182745801939817,2.0
www.wmur.com,-0.029740259740259734,0.22204989570247682,0.6211038961038962,0.25483393737567134,2.0
www.ansa.it,-0.036458333333333336,0.12521682583511778,0.5135416666666667,0.19592750395377256,2.0
www.mediaite.com,0.12074675324675324,0.2515738996182528,0.5722510822510823,0.16046120116796037,2.0
bleedingcool.com,-0.2587762237762238,0.15729417279401445,0.49494005994005985,0.015067520122586397,2.0
www.mentalfloss.com,0.2833333333333333,0.3064129385141706,0.6027777777777779,0.20820366334937226,2.0
bringatrailer.com,0.1475,0.2085965004500315,0.1225,0.1025304832720494,2.0
www.register-herald.com,0.10370370370370369,0.02880805404834085,0.45833333333333337,0.05892556509887897,2.0
www.uticaod.com,-0.028749999999999998,0.04065863991822648,0.6509294871794872,0.49366025345530057,2.0
hackaday.com,0.1628409090909091,0.1291541249576338,0.508888888888889,0.10685169137930059,2.0
ktla.com,0.045,0.2757716446627535,0.27,0.04242640687119287,2.0
www.americanthinker.com,0.312962962962963,0.14665918424609875,0.6148148148148147,0.09689981816260095,2.0
www.huffpost.com,0.023219696969696973,0.16836641009616052,0.5343434343434343,0.10856588963672237,2.0
journals.plos.org,0.2154761904761905,0.0016835875742537275,0.5101190476190476,0.1153257488363774,2.0
www.theweathernetwork.com,0.08072916666666667,0.0036828478186799415,0.48750000000000004,0.1767766952966369,2.0
snowboardmag.com,0.2813888888888889,0.18188357760520638,0.5644444444444445,0.05971123930019738,2.0
www.thesunchronicle.com,0.12840909090909092,0.02732003472766208,0.3575757575757576,0.07285342594043216,2.0
loyaltylobby.com,0.19642857142857142,0.28789347519738007,0.45357142857142857,0.07576144084141577,2.0
gothamist.com,0.08795770202020202,0.025467450673417016,0.4584122474747475,0.10903461572273628,2.0
www.thechampaignroom.com,0.020000000000000007,0.028284271247461912,0.26999999999999996,0.3818376618407356,2.0
pypi.org,-0.027777777777777783,0.13749298523071757,0.3928571428571429,0.025253813613805316,2.0
www.nbc4i.com,0.05,0.07071067811865477,0.325,0.10606601717798214,2.0
phys.org,-0.05041666666666661,0.5898449066397784,0.5761111111111111,0.005499719409228621,2.0
mypeoplesreview.com,0.19479166666666664,0.1075391563054541,0.40208333333333335,0.038301617314271265,2.0
www.nature.com,-0.08750000000000001,0.12374368670764584,0.19166666666666665,0.2710575994548432,2.0
www.snopes.com,0.12562500000000001,0.06275572683030609,0.3829166666666667,0.052443752938002304,2.0
www.gov.uk,0.022727272727272724,0.032141217326661246,0.17020202020202022,0.24070200531299651,2.0
www.insurancejournal.com,0.22916666666666669,0.38301617314271325,0.5284722222222222,0.04812254483075114,2.0
fox4kc.com,-0.05787878787878788,0.04542625382168123,0.18363636363636365,0.008999540851465159,2.0
www.2822news.com,0.042,0.05939696961967,0.16799999999999998,0.23758787847867996,2.0
www.freep.com,0.13854166666666667,0.15762588663950122,0.2666666666666667,0.023570226039551636,2.0
www.sfchronicle.com,0.05819088319088318,0.03253497013151778,0.45299145299145305,0.06648012472694044,2.0
www.scientificamerican.com,0.033473625140291806,0.053370292968344925,0.3433203563411897,0.2061774770410481,2.0
www.ndtvprofit.com,0.06418269230769232,0.11252516565997464,0.3076923076923077,0.0580190179435116,2.0
fox8.com,0.03,0.18384776310850237,0.47,0.09899494936611658,2.0
www.geeky-gadgets.com,0.013492063492063472,0.34232947343158254,0.4986394557823129,0.04521635199424175,2.0
freerepublic.com,0.02,0.0282842712474619,0.3,0.4242640687119285,2.0
uncrate.com,0.12228835978835978,0.024037889254622066,0.45138888888888895,0.05696137959558297,2.0
twistedsifter.com,-0.11339285714285713,0.6730141328079104,0.7455357142857143,0.082916688031994,2.0
www.neatorama.com,0.11148989898989903,0.13802867218616197,0.531060606060606,0.014999234752441817,2.0
www.nbcchicago.com,0.0,1.0,0.0,1.0,1.0
www.msn.com,0.0,1.0,0.0,1.0,1.0
www.oklahoman.com,0.0,1.0,0.0,1.0,1.0
www.naturalnews.com,0.0,1.0,0.0,1.0,1.0
www.notebookcheck.net,0.0,1.0,0.0,1.0,1.0
www.nydailynews.com,0.0,1.0,0.0,1.0,1.0
www.mlive.com,0.0,1.0,0.0,1.0,1.0
www.nbcsports.com,0.0,1.0,0.0,1.0,1.0
www.nj.com,0.0,1.0,0.0,1.0,1.0
www.mitchellrepublic.com,0.0,1.0,0.0,1.0,1.0
www.nakedcapitalism.com,0.0,1.0,0.0,1.0,1.0
www.myscandinavianhome.com,0.0,1.0,0.0,1.0,1.0
www.newscientist.com,0.0,1.0,0.0,1.0,1.0
www.sj-r.com,0.0,1.0,0.0,1.0,1.0
www.ourquadcities.com,0.0,1.0,0.0,1.0,1.0
www.outdoorguide.com,0.0,1.0,0.0,1.0,1.0
www.theinertia.com,0.0,1.0,0.0,1.0,1.0
www.theledger.com,0.0,1.0,0.0,1.0,1.0
www.thenation.com,0.0,1.0,0.0,1.0,1.0
www.thepinknews.com,0.0,1.0,0.0,1.0,1.0
www.theregister.com,0.0,1.0,0.0,1.0,1.0
www.thewrap.com,0.0,1.0,0.0,1.0,1.0
www.tmz.com,0.0,1.0,0.0,1.0,1.0
www.today.com,0.0,1.0,0.0,1.0,1.0
www.trendir.com,0.0,1.0,0.0,1.0,1.0
www.tri-cityherald.com,0.0,1.0,0.0,1.0,1.0
www.tvline.com,0.0,1.0,0.0,1.0,1.0
www.twincities.com,0.0,1.0,0.0,1.0,1.0
www.vanquishthefoe.com,0.0,1.0,0.0,1.0,1.0
www.vintag.es,0.0,1.0,0.0,1.0,1.0
www.vox.com,0.0,1.0,0.0,1.0,1.0
www.vvdailypress.com,0.0,1.0,0.0,1.0,1.0
www.wbaltv.com,0.0,1.0,0.0,1.0,1.0
www.westernslopenow.com,0.0,1.0,0.0,1.0,1.0
www.wimp.com,0.0,1.0,0.0,1.0,1.0
www.windowscentral.com,0.0,1.0,0.0,1.0,1.0
